frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
9,0.3000,R_LowerLeg,-2.36,0.00,2.36,0.00,0.00,0.00,0.00,0.1152,0.4131,155.60,Y,N,79.76,160.65,106.24,0.15526,-0.90284,-0.40097,0.06297,0.99669,0.05134
10,0.3333,L_UpperArm,-5.81,-31.14,-25.33,12.90,-25.25,-25.25,-31.14,0.9987,0.8330,123.59,N,N,83.53,91.03,173.45,-0.69686,-0.42968,0.57425,0.88408,-0.42002,-0.20489
10,0.3333,L_LowerArm,20.55,38.15,17.60,31.14,31.14,31.14,38.15,0.9987,0.9985,93.15,N,N,83.53,91.03,173.45,-0.04891,-0.41515,0.90844,0.88408,-0.42002,-0.20489
10,0.3333,R_UpperArm,-4.11,63.29,67.40,-27.33,62.52,62.52,63.29,0.9988,0.9289,68.27,N,N,96.50,89.06,173.43,0.11309,-0.81649,0.56617,0.96479,-0.21121,0.15673
10,0.3333,R_LowerArm,-14.90,-89.85,-74.95,-127.30,-127.30,-90.00,-89.85,0.9989,0.9305,111.48,N,N,96.50,89.06,173.43,-0.41167,0.44407,0.79582,0.96479,-0.21121,0.15673
10,0.3333,L_UpperLeg,-4.12,0.00,4.12,0.00,0.00,0.00,0.00,0.0972,0.7040,135.25,Y,N,22.87,106.17,105.73,0.13809,-0.78240,0.60727,0.05204,0.99372,0.09902
10,0.3333,L_LowerLeg,7.48,0.00,-7.48,0.00,0.00,0.00,0.00,0.1203,0.2967,162.74,Y,N,22.87,106.17,105.73,0.03785,-0.98163,0.18703,0.05204,0.99372,0.09902
10,0.3333,R_UpperLeg,10.08,0.00,-10.08,0.00,0.00,0.00,0.00,0.0956,0.1887,169.12,Y,N,71.67,160.77,95.63,0.01701,-0.96195,-0.27270,0.05204,0.99372,0.09902
10,0.3333,R_LowerLeg,-3.94,0.00,3.94,0.00,0.00,0.00,0.00,0.1152,0.3987,156.50,Y,N,71.67,160.77,95.63,0.09030,-0.88139,-0.46369,0.05204,0.99372,0.09902
11,0.3667,L_UpperArm,-9.39,-20.47,-11.08,12.83,-15.48,-15.48,-20.47,0.9987,0.8498,121.81,N,N,83.53,91.03,173.45,-0.68317,-0.41716,0.59938,0.86544,-0.45505,-0.20961
