frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
38,1.2667,L_LowerLeg,-6.12,0.00,6.12,Y
38,1.2667,R_UpperLeg,10.60,0.00,-10.60,Y
38,1.2667,R_LowerLeg,1.79,0.00,-1.79,Y
39,1.3000,L_UpperArm,6.48,-68.79,-75.27,N
39,1.3000,L_LowerArm,21.89,79.23,57.34,Y
39,1.3000,R_UpperArm,2.11,28.04,25.93,Y
39,1.3000,R_LowerArm,-47.33,-67.66,-20.33,Y
39,1.3000,L_UpperLeg,6.97,0.00,-6.97,Y
39,1.3000,L_LowerLeg,-5.69,0.00,5.69,Y
39,1.3000,R_UpperLeg,9.04,0.00,-9.04,Y
39,1.3000,R_LowerLeg,-0.03,0.00,0.03,Y
40,1.3333,L_UpperArm,5.65,-69.56,-75.21,N
40,1.3333,L_LowerArm,17.72,74.08,56.36,Y
40,1.3333,R_UpperArm,7.27,51.99,44.72,Y
40,1.3333,R_LowerArm,-39.07,-68.21,-29.14,Y
40,1.3333,L_UpperLeg,8.63,0.00,-8.63,Y
40,1.3333,L_LowerLeg,-5.12,0.00,5.12,Y
40,1.3333,R_UpperLeg,9.75,0.00,-9.75,Y
40,1.3333,R_LowerLeg,-1.62,0.00,1.62,Y
41,1.3667,L_UpperArm,4.52,-69.82,-74.34,Y
41,1.3667,L_LowerArm,15.42,70.17,54.75,Y
41,1.3667,R_UpperArm,10.46,57.48,47.02,Y
41,1.3667,R_LowerArm,-31.90,-67.91,-36.02,Y
41,1.3667,L_UpperLeg,10.73,0.00,-10.73,Y
41,1.3667,L_LowerLeg,-4.20,0.00,4.20,Y
41,1.3667,R_UpperLeg,10.14,0.00,-10.14,Y
41,1.3667,R_LowerLeg,-2.03,0.00,2.03,Y
42,1.4000,L_UpperArm,2.33,-69.92,-72.25,Y
42,1.4000,L_LowerArm,13.40,67.46,54.06,Y
42,1.4000,R_UpperArm,11.88,57.54,45.66,Y
42,1.4000,R_LowerArm,-26.74,-66.79,-40.04,Y
42,1.4000,L_UpperLeg,12.70,0.00,-12.70,Y
42,1.4000,L_LowerLeg,-3.62,0.00,3.62,Y
42,1.4000,R_UpperLeg,7.21,0.00,-7.21,Y
42,1.4000,R_LowerLeg,-1.63,0.00,1.63,Y
43,1.4333,L_UpperArm,-0.87,-69.96,-69.09,Y
43,1.4333,L_LowerArm,12.09,54.34,42.26,Y
43,1.4333,R_UpperArm,12.80,56.32,43.52,Y
